20080526-115827 : HS39153 ; %UserProfileCitrix%\HS39153
20080526-115828 : HS75034 ; %UserProfileCitrix%\HS75034
20080526-115828 : HS75226 ; %UserProfileCitrix%\HS75226
20080526-115828 : HS76944 ; %UserProfileCitrix%\HS76944
20080526-115829 : HS77096 ; %UserProfileCitrix%\HS77096
20080526-115829 : HS78222 ; %UserProfileCitrix%\HS78222
20080526-115829 : HS80286 ; %UserProfileCitrix%\HS80286
20080526-115830 : HSE1823 ; %UserProfileCitrix%\HSE1823
20080526-115830 : HT58931 ; %UserProfileCitrix%\HT58931
20080526-115830 : HV35692 ; %UserProfileCitrix%\HV35692
20080526-115831 : HV39998 ; %UserProfileCitrix%\HV39998
